tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;pdcch_cce_utilization_pct;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
4246;8;1;50;50,0;279,0;27900;27900;27900,0;11,5;19,92;2095874;974,4;25;20;80,0;19,0;22,7;100,0;8;0;13,5739;12,5;7,867;19,8065;3,49;27900,0;27900,0;27900,0;0,0;7,0;15,0;12,0;4,0;6,29;38,74;11,97;100,0;0;0;2,79;2,79;2,79;0,0;30,74;60,09;0,0;0,0;0,125;85138593750000,0;9227057,7
4247;8;1;50;50,0;229,0;22900;22900;22900,0;11,38;19,57;2094255;1808,3;25;20;80,0;40,9;37,1;100,0;8;0;13,2847;12,5;9,0794;15,9568;2,39;22900,0;22900,0;22900,0;0,0;7,0;15,0;11,0;3,0;5,96;38,45;11,84;100,0;0;0;2,29;2,29;2,29;0,0;30,11;60,49;0,0;0,0;0,125;57357343750000,0;7573463,13
4248;8;1;50;50,0;492,0;49200;49200;49200,0;11,0;19,04;2095149;1964,0;25;23;92,0;27,2;36,0;100,0;8;0;12,7174;12,5;9,0976;14,7867;2,05;49200,0;49200,0;49200,0;0,0;6,0;15,0;11,0;4,0;5,86;37,99;11,76;100,0;0;0;4,92;4,92;4,92;0,0;32,14;61,75;0,0;0,0;0,125;264757500000000,0;16271370,56
4249;8;1;50;50,0;492,0;49200;49200;49200,0;11,0;18,76;2093896;1228,5;25;23;92,0;22,1;23,3;100,0;8;1;12,5905;12,5;9,1158;14,7437;2,02;49200,0;49200,0;49200,0;0,0;6,0;15,0;11,0;4,0;4,6;37,26;11,76;100,0;0;0;4,92;4,92;4,92;0,0;33,4;62,67;0,0;0,0;0,125;264757500000000,0;16271370,56
4250;8;1;50;50,0;492,0;49200;49200;49200,0;11,12;18,9;2092630;1383,8;25;22;88,0;24,4;31,1;100,0;8;0;12,7443;12,5;8,4783;14,6931;2,35;49200,0;49200,0;49200,0;0,0;5,0;15,0;11,0;4,0;2,59;36,69;11,86;100,0;0;0;4,92;4,92;4,92;0,0;33,76;62,77;0,0;0,0;0,125;264757500000000,0;16271370,56
4251;8;1;50;50,0;429,0;42900;42900;42900,0;11,25;19,03;2095997;944,1;25;22;88,0;20,6;27,8;100,0;8;0;12,8086;12,5;6,9067;14,8859;2,86;42900,0;42900,0;42900,0;0,0;4,0;15,0;11,0;4,0;1,02;36,18;12,02;100,0;0;0;4,29;4,29;4,29;0,0;36,04;63,16;0,0;0,0;0,125;201294843750000,0;14187841,41
4252;8;1;50;50,0;466,0;46600;46600;46600,0;11,62;19,38;2095760;6086,5;25;21;84,0;102,1;112,6;100,0;8;0;13,2082;12,5;8,5123;15,9483;2,62;46600,0;46600,0;46600,0;0,0;5,0;15,0;12,0;4,0;2,31;35,74;11,71;100,0;0;0;4,66;4,66;4,66;0,0;34,12;60,41;0,0;0,0;0,125;237514375000000,0;15411501,39
4253;8;1;50;50,0;466,0;46600;46600;46600,0;11,62;19,67;2094759;949,9;25;21;84,0;21,4;22,4;100,0;8;0;13,4761;12,5;9,1891;15,7134;2,08;46600,0;46600,0;46600,0;0,0;6,0;15,0;12,0;4,0;4,47;35,3;11,27;100,0;0;0;4,66;4,66;4,66;0,0;31,59;57,26;0,0;0,0;0,125;237514375000000,0;15411501,39
4254;8;1;50;50,0;466,0;46600;46600;46600,0;11,75;20,07;2090337;2106,9;25;17;68,0;73,3;38,2;100,0;8;0;13,8267;12,5;9,2075;15,4856;1,85;46600,0;46600,0;46600,0;0,0;7,0;15,0;12,0;3,0;6,37;35,01;10,7;100,0;0;0;4,66;4,66;4,66;0,0;29,71;53,3;0,0;0,0;0,125;237514375000000,0;15411501,39
4255;8;1;50;50,0;229,0;22900;22900;22900,0;11,75;20,11;2090192;1807,5;25;17;68,0;44,2;35,6;100,0;8;0;14,0128;12,5;9,226;15,9435;1,94;22900,0;22900,0;22900,0;0,0;7,0;15,0;12,0;3,0;6,67;35,85;10,6;100,0;0;0;2,29;2,29;2,29;0,0;27,82;52,7;0,0;0,0;0,125;57357343750000,0;7573463,13
4256;8;1;50;50,0;466,0;46600;46600;46600,0;11,5;19,89;2095933;1545,8;25;18;72,0;29,0;24,8;100,0;8;0;13,625;12,5;9,2444;15,295;1,8;46600,0;46600,0;46600,0;0,0;7,0;15,0;12,0;3,0;6,91;37,06;10,82;100,0;0;0;4,66;4,66;4,66;0,0;29,49;54,39;0,0;0,0;0,125;237514375000000,0;15411501,39
4257;8;1;50;50,0;466,0;46600;46600;46600,0;11,5;19,82;2095825;9553,9;25;22;88,0;59,9;37,3;100,0;8;0;13,5221;12,5;10,9975;15,0795;1,52;46600,0;46600,0;46600,0;0,0;6,0;15,0;12,0;3,0;5,55;38,34;11,17;100,0;0;0;4,66;4,66;4,66;0,0;30,12;56,36;0,0;0,0;0,125;237514375000000,0;15411501,39
4258;8;1;50;50,0;466,0;46600;46600;46600,0;11,38;19,84;2093131;4634,1;25;22;88,0;43,2;36,5;100,0;8;0;13,2007;12,5;8,4713;14,8701;2,13;46600,0;46600,0;46600,0;0,0;5,0;15,0;11,0;4,0;3,52;39,51;11,55;100,0;0;0;4,66;4,66;4,66;0,0;32,28;58,2;0,0;0,0;0,125;237514375000000,0;15411501,39
4259;8;1;50;50,0;492,0;49200;49200;49200,0;11,5;19,93;2093498;3001,2;25;22;88,0;49,4;50,0;100,0;8;0;13,5172;12,5;11,0416;14,8804;1,47;49200,0;49200,0;49200,0;0,0;6,0;15,0;12,0;3,0;4,16;40,29;11,43;100,0;0;0;4,92;4,92;4,92;0,0;30,12;57,37;0,0;0,0;0,125;264757500000000,0;16271370,56
4260;8;1;50;50,0;229,0;22900;22900;22900,0;11,75;19,77;2092771;4921,1;25;20;80,0;112,3;96,4;100,0;8;0;13,9929;12,5;11,0637;15,2879;1,3;22900,0;22900,0;22900,0;0,0;6,0;15,0;12,0;3,0;4,87;40,79;11,26;100,0;0;0;2,29;2,29;2,29;0,0;27,5;56,96;0,0;0,0;0,125;57357343750000,0;7573463,13
4261;8;1;50;50,0;229,0;22900;22900;22900,0;11,5;19,29;2094521;4921,7;25;21;84,0;47,4;120,0;100,0;8;0;13,6535;12,5;11,0859;15,0726;1,41;22900,0;22900,0;22900,0;0,0;6,0;15,0;12,0;3,0;3,85;41,25;11,47;100,0;0;0;2,29;2,29;2,29;0,0;27,84;59,47;0,0;0,0;0,125;57357343750000,0;7573463,13
4262;8;1;50;50,0;492,0;49200;49200;49200,0;11,25;18,96;2096271;6777,6;25;21;84,0;169,6;106,3;100,0;8;0;13,2849;12,5;8,5393;14,8972;2,04;49200,0;49200,0;49200,0;0,0;5,0;15,0;11,0;3,0;1,66;41,38;11,76;100,0;0;0;4,92;4,92;4,92;0,0;29,4;62,02;0,0;0,0;0,125;264757500000000,0;16271370,56
4263;8;1;50;50,0;229,0;22900;22900;22900,0;11,5;19,43;2094917;3872,9;25;21;84,0;94,0;73,5;100,0;8;0;13,7953;12,5;11,1303;14,8932;1,17;22900,0;22900,0;22900,0;0,0;6,0;15,0;12,0;3,0;3,97;41,25;11,18;100,0;0;0;2,29;2,29;2,29;0,0;26,8;57,54;0,0;0,0;0,125;57357343750000,0;7573463,13
